fecha,dia,hora,minuto,open,high,low,fin,volume,symbol
2025-08-01,1,4,45,250.6320,251.1584,250.3440,251.1584,1989,IBM
2025-08-01,1,5,0,251.1385,251.1385,250.8207,250.9597,453,IBM
2025-08-01,1,5,15,250.8406,250.9498,250.5128,250.5625,499,IBM
2025-08-01,1,5,30,250.5625,250.6221,249.7779,250.4632,1102,IBM
2025-08-01,1,5,45,249.8971,250.3440,249.8574,250.0361,68,IBM
2025-08-01,1,6,0,249.9666,250.2646,249.7879,249.8177,621,IBM
2025-08-01,1,6,15,249.9666,250.1454,249.7680,250.0361,505,IBM
2025-08-01,1,6,30,250.0163,250.0659,249.7879,249.8673,457,IBM
2025-08-01,1,6,45,249.9567,250.0064,249.4800,249.5992,561,IBM
2025-08-01,1,7,0,250.0163,250.3639,249.5992,250.2745,1062,IBM
2025-08-01,1,7,15,250.3639,250.3837,250.0361,250.0361,1003,IBM
2025-08-01,1,7,30,250.1653,250.5625,250.1156,250.4632,1040,IBM
2025-08-01,1,7,45,250.7015,250.7015,250.4533,250.4632,196,IBM
2025-08-01,1,8,0,252.2496,252.2607,249.4800,250.6519,5673,IBM
2025-08-01,1,8,15,250.2745,251.4066,250.2745,250.2944,4929,IBM
2025-08-01,1,8,30,250.2944,251.0094,249.7680,251.0094,2672,IBM
2025-08-01,1,8,45,250.9200,250.9995,249.7680,250.2745,2223,IBM
2025-08-01,1,9,0,250.6022,250.7611,250.0957,250.0957,1604,IBM
2025-08-01,1,9,15,250.2646,251.4066,249.5098,249.7680,2189,IBM
2025-08-01,1,9,30,249.6737,249.7472,247.2852,248.0102,371220,IBM
2025-08-01,1,9,45,247.9630,247.9630,246.7986,247.5136,227010,IBM
2025-08-01,1,10,0,247.6229,247.8909,246.4017,246.7241,289267,IBM
2025-08-01,1,10,15,246.7241,247.4739,246.4907,247.2852,548655,IBM
2025-08-01,1,10,30,247.3150,247.3945,246.0736,246.4510,491949,IBM
2025-08-01,1,10,45,246.5404,246.7688,245.6168,246.2623,456810,IBM
2025-08-01,1,11,0,246.4113,246.6794,246.0140,246.0836,520564,IBM
2025-08-01,1,11,15,246.0538,246.2127,245.2493,245.5561,201212,IBM
2025-08-01,1,11,30,245.5125,245.5969,244.8024,245.2819,286293,IBM
2025-08-01,1,11,45,245.2195,245.7956,245.0011,245.7707,515376,IBM
2025-08-01,1,12,0,245.7459,246.5702,245.6367,246.4014,207442,IBM
2025-08-01,1,12,15,246.4510,246.6471,245.7658,245.8452,191494,IBM
2025-08-01,1,12,30,245.8104,245.9743,245.3884,245.6069,280739,IBM
2025-08-01,1,12,45,245.6565,246.1279,245.0309,245.0904,93911,IBM
2025-08-01,1,13,0,245.1401,245.1798,243.9186,244.3555,244532,IBM
